Date,Forecast_INR_USD,Lower_Bound_80pct,Upper_Bound_80pct,Bear_Scenario,Bull_Scenario
20 Apr 2026,93.0347,92.5925,93.5324,96.756,88.3829
21 Apr 2026,93.0503,92.5848,93.5099,96.7723,88.3978
22 Apr 2026,93.0919,92.6405,93.5498,96.8156,88.4373
23 Apr 2026,93.1383,92.6722,93.6542,96.8638,88.4814
24 Apr 2026,93.1594,92.7384,93.6032,96.8857,88.5014
27 Apr 2026,93.1027,92.6232,93.5253,96.8268,88.4476
28 Apr 2026,93.1489,92.703,93.5973,96.8749,88.4915
29 Apr 2026,93.2409,92.7543,93.7266,96.9705,88.5788
30 Apr 2026,93.338,92.8429,93.7975,97.0715,88.6711
01 May 2026,93.3981,92.9194,93.8738,97.134,88.7282
04 May 2026,93.402,92.9409,93.8947,97.1381,88.7319
05 May 2026,93.4446,92.9896,93.907,97.1824,88.7724
06 May 2026,93.5181,93.0248,93.9895,97.2588,88.8422
07 May 2026,93.5973,93.1312,94.0721,97.3412,88.9174
08 May 2026,93.6634,93.1684,94.1473,97.4099,88.9802
11 May 2026,93.824,93.3495,94.3043,97.577,89.1328
12 May 2026,93.8797,93.3695,94.3761,97.6349,89.1857
13 May 2026,93.924,93.4149,94.415,97.6809,89.2278
14 May 2026,93.9546,93.4655,94.4703,97.7128,89.2569
15 May 2026,93.9811,93.4637,94.4733,97.7403,89.282
18 May 2026,94.0911,93.5566,94.6248,97.8547,89.3865
19 May 2026,94.1139,93.5571,94.6339,97.8785,89.4082
20 May 2026,94.129,93.5919,94.6651,97.8942,89.4226
21 May 2026,94.1546,93.6448,94.7271,97.9208,89.4468
22 May 2026,94.2031,93.6341,94.7729,97.9712,89.4929
25 May 2026,94.3151,93.7553,94.8891,98.0877,89.5994
26 May 2026,94.2839,93.7414,94.8863,98.0552,89.5697
27 May 2026,94.2513,93.6674,94.808,98.0214,89.5387
28 May 2026,94.2573,93.686,94.8188,98.0276,89.5445
